year,LOCAL_DAY,LOCAL_HOUR_END,METERED_MW,_FREQ_
2011,1/21/11,22,199.244,
2011,1/21/11,23,195.221,
2011,1/21/11,24,161.334,
2011,1/22/11,01,166.744,
2011,1/22/11,02,185.52,
2011,1/22/11,03,190.124,
2011,1/22/11,04,187.836,
2011,1/22/11,05,177.607,
2011,1/22/11,06,172.26,
2011,1/22/11,07,165.164,
2011,1/22/11,08,150.594,
2011,1/22/11,09,142.556,
2011,1/22/11,10,115.241,
2011,1/22/11,11,132.043,
2011,1/22/11,12,145.042,
2011,1/22/11,13,135.322,
2011,1/22/11,14,110.637,
2011,1/22/11,15,75, (interpolated)
2011,1/22/11,16,75, (interpolated)
2011,1/22/11,17,75, (interpolated)
2011,1/22/11,18,75, (interpolated)
2011,1/22/11,19,75, (interpolated)
2011,1/22/11,20,75, (interpolated)
2011,1/22/11,21,40.415,
2011,1/23/11,02,35.931,
2011,1/23/11,03,31.007,
2011,1/23/11,04,20.817,
2011,1/23/11,05,24.328,
2011,1/23/11,06,38.467,
2011,1/23/11,07,45.567,
2011,1/23/11,08,37.665,
2011,1/23/11,09,55.527,
2011,1/23/11,10,54.224,
2011,1/23/11,11,54.427,
2011,1/23/11,12,72.86,
2011,1/23/11,13,108.384,
2011,1/23/11,14,109.215,
2011,1/23/11,15,110.206,
2011,1/23/11,16,109.012,
2011,1/23/11,17,121.212,
2011,1/23/11,18,126.558,
2011,1/23/11,19,124.589,
2011,1/23/11,20,123.046,
2011,1/23/11,21,115.368,
2011,1/23/11,22,118.867,
2011,1/23/11,23,117.685,
2011,1/23/11,24,114.982,
2011,1/24/11,01,144.638,
2011,1/24/11,02,179.635,
2011,1/24/11,03,174.77,
2011,1/24/11,04,171.64,
2011,1/24/11,05,160.677,
2011,1/24/11,06,143.042,
2011,1/24/11,07,144.718,
2011,1/24/11,08,140.095,
2011,1/24/11,09,137.337,
2011,1/24/11,10,143.163,
2011,1/24/11,11,146.868,
2011,1/24/11,12,151.824,
2011,1/24/11,13,147.759,
2011,1/24/11,14,139.322,
2011,1/24/11,15,143.52,
2011,1/24/11,16,144.227,
2011,1/24/11,17,150.692,
2011,1/24/11,18,143.224,
2011,1/24/11,19,131.376,
2011,1/24/11,20,115.747,
2011,1/24/11,21,98.483,
2011,1/24/11,23,58.597,
2011,1/24/11,24,46.975,
2011,1/25/11,01,41.609,
2011,1/25/11,02,41.103,
2011,1/25/11,03,39.23,
2011,1/25/11,04,35.748,
2011,1/25/11,05,30.939,
2011,1/25/11,06,20.732,
2011,1/25/11,07,9.917,
2011,1/25/11,08,12.211,
2011,1/25/11,09,15.296,
2011,1/25/11,10,26.658,
2011,1/25/11,11,16.772,
2011,1/25/11,12,12.25,
2011,1/25/11,13,9.412,
2011,1/25/11,14,14.218,
2011,1/25/11,15,15.279,
2011,1/25/11,16,23.908,
2011,1/25/11,17,36.785,
2011,1/25/11,18,53.71,
2011,1/25/11,19,63.454,
2011,1/25/11,20,48.785,
2011,1/25/11,21,41.015,
2011,1/25/11,22,45.441,
2011,1/25/11,23,27.317,
2011,1/25/11,24,10.083,
2011,1/26/11,01,23.08,
2011,1/26/11,02,24.107,
2011,1/26/11,04,27.347,
2011,1/26/11,05,20.513,
2011,1/26/11,06,3.373,
2011,1/26/11,07,0.578,
2011,1/26/11,08,0.87,
2011,1/26/11,09,2.739,
2011,1/26/11,10,4.217,
2011,1/26/11,11,1.429,
2011,1/26/11,12,2.192,
2011,1/26/11,13,1.008,
2011,1/26/11,14,1.696,
2011,1/26/11,15,2.807,
2011,1/26/11,16,3.466,
2011,1/26/11,17,5.985,
2011,1/26/11,18,6.957,
2011,1/26/11,19,8.955,
2011,1/26/11,20,12.075,
2011,1/26/11,21,14.6,
2011,1/26/11,22,21.144,
2011,1/26/11,23,40.05,
2011,1/26/11,24,48.891,
2011,1/27/11,01,47.786,
2011,1/27/11,02,54.401,
2011,1/27/11,03,65.923,
2011,1/27/11,04,72.921,
2011,1/27/11,05,89.035,
2011,1/27/11,06,98.532,
2011,1/27/11,07,76.93,
2011,1/27/11,08,89.612,
2011,1/27/11,09,130.56,
2011,1/27/11,10,145.7,
2011,1/27/11,11,147.639,
2011,1/27/11,12,151.005,
2011,1/27/11,13,154.219,
2011,1/27/11,14,154.071,
2011,1/27/11,15,152.743,
2011,1/27/11,16,150.275,
2011,1/27/11,17,139.435,
2011,1/27/11,18,126.032,
2011,1/27/11,19,109.182,
2011,1/27/11,20,77.695,
2011,1/27/11,21,69.55,
2011,1/27/11,22,87.888,
2011,1/27/11,23,98.786,
2011,1/27/11,24,82.778,
2011,1/28/11,01,52.947,
2011,1/28/11,02,38.06,
2011,1/28/11,03,51.336,
2011,1/28/11,04,39.324,
2011,1/28/11,05,19.344,
2011,1/28/11,06,19.945,
2011,1/28/11,07,28.912,
2011,1/28/11,08,36.221,
2011,1/28/11,09,31.716,
2011,1/28/11,10,16.019,
2011,1/28/11,13,2.684,
2011,1/28/11,22,2.414,
2011,1/28/11,23,1.131,
2011,1/29/11,12,0.676,
2011,1/29/11,13,1.148,
2011,1/29/11,14,1.025,
2011,1/29/11,15,0.519,
2011,1/29/11,16,0.574,
2011,1/29/11,17,0.677,
2011,1/29/11,18,1.55,
2011,1/29/11,19,3.358,
2011,1/29/11,20,4.325,
2011,1/29/11,21,7.174,
2011,1/29/11,22,9.322,
2011,1/29/11,23,12.27,
2011,1/29/11,24,13.956,
2011,1/30/11,01,10.399,
2011,1/30/11,02,5.491,
2011,1/30/11,03,2.994,
2011,1/30/11,04,1.775,
2011,1/30/11,05,4.142,
2011,1/30/11,06,6.358,
2011,1/30/11,07,4.749,
2011,1/30/11,10,0.592,
2011,1/30/11,12,3.142,
2011,1/30/11,13,10.163,
2011,1/30/11,14,28.114,
2011,1/30/11,15,32.046,
2011,1/30/11,16,52.401,
2011,1/30/11,17,49.693,
2011,1/30/11,18,70.889,
2011,1/30/11,19,72.758,
2011,1/30/11,20,90.751,
2011,1/30/11,21,127.67,
2011,1/30/11,22,124.204,
2011,1/30/11,23,116.906,
2011,1/30/11,24,125.276,
2011,1/31/11,01,109.969,
2011,1/31/11,02,116.704,
2011,1/31/11,03,145.026,
2011,1/31/11,04,151.462,
2011,1/31/11,05,179.013,
2011,1/31/11,06,175.729,
2011,1/31/11,07,176.628,
2011,1/31/11,08,173.808,
2011,1/31/11,09,158.043,
2011,1/31/11,10,147.379,
2011,1/31/11,11,147.717,
2011,1/31/11,12,123.522,
2011,1/31/11,13,106.422,
2011,1/31/11,14,95.17,
2011,1/31/11,15,101.676,
2011,1/31/11,16,106.149,
2011,1/31/11,17,113.12,
2011,1/31/11,18,139.975,
2011,1/31/11,19,155.612,
2011,1/31/11,20,157.678,
2011,1/31/11,21,145.048,
2011,1/31/11,22,133.771,
2011,1/31/11,23,119.801,
2011,1/31/11,24,88.376,
2011,2/1/11,01,82.292,
2011,2/1/11,02,89.17,
2011,2/1/11,03,88.444,
2011,2/1/11,04,83.495,
2011,2/1/11,05,70.487,
2011,2/1/11,06,62.833,
2011,2/1/11,07,64.785,
